Kills/Deaths,Assists,Gold,Damage Dealt to Champs,Damage Taken,Wards Placed,CS,Voidgrubs,Baron,Dragon,Rift Herald,Towers,Inhibitor,Win
26,17,16117,22425,-29593,6,148,6,0,3,1,10,2,1
-10,-13,-8901,-1696,-16715,-18,7,-3,-1,-3,1,-6,-2,0
1,25,7893,12630,-8721,-8,115,0,0,5,-1,2,1,1
-10,-42,-4701,-27044,20438,-13,48,0,1,2,1,-5,-1,0
3,-10,5920,6153,11192,-12,112,1,0,0,-1,4,0,1
-7,-16,-5871,-11617,3123,-10,48,-6,-1,3,-1,-4,-1,0
29,49,14043,46546,-35323,-10,28,0,1,4,1,7,1,1
-22,-26,-14614,-56936,77581,-23,-13,4,-2,-4,0,-8,-3,0
6,9,4536,2358,11597,-18,45,0,0,-1,-1,-3,2,1
-4,-29,-5286,-22194,21151,-21,23,4,-1,0,1,-1,1,0